pc1,pc2,dominante_dimension
0.27461660797958476,-0.14045998178447933,regulation
0.12433895061018885,-0.1113392790274507,kognition
-0.08046554566287982,0.08094666923597177,motivation
-0.018007055559164813,-0.014560287089250496,performanz
0.15976075194811112,-0.15853644267126488,kognition
0.07727213912587726,-0.1069524578871454,kognition
0.05842176001749697,-0.10268949886408316,kognition
-0.10328358696711575,0.08963953429537326,motivation
-0.020876278025206398,0.029128661318424422,regulation
-0.09250736202131085,0.10737877958777396,kognition
-0.1213891905910299,0.11922340046579787,regulation
0.014642491864914061,-0.06240880098149304,performanz
0.10246971492153005,-0.04616692463273423,performanz
-0.011225128678151716,-0.013867992329868215,kognition
-0.037622637327774225,0.03547982945568402,kognition
-0.05888258373668183,0.04416540496241222,performanz
-0.05697805010907799,0.013904238339163317,kognition
-0.060929059813416724,0.03545415139714766,kognition
-0.00026342733792970575,-0.02945523171619582,performanz
0.11311242659200588,-0.09828961625665247,regulation
0.012386660754835712,-0.007433451522989372,regulation
-0.00914201026283071,-0.0066556506406079295,kognition
-0.03997988192267147,0.04809228385053031,regulation
-0.0565217798287736,0.02533205096656131,performanz
-0.0565217798287736,0.02533205096656131,performanz
-0.08511644308023326,0.07201645810309341,kognition
0.025556013407098652,-0.0018154946214945596,regulation
-0.07390659800275401,0.06471907818137931,performanz
-0.0774178113352523,0.06726029815456236,kognition
-0.07371719246038069,0.05776271918069107,motivation
-0.012867417109332303,-0.013750951698262678,performanz
-0.07367930634016424,0.0621474395093326,kognition
-0.06438759038318255,0.06447628076245855,performanz
0.08511215388825197,-0.0951751264481695,performanz
-0.021386264818835703,0.04643032960991181,performanz
0.06205343046595527,-0.06765081817454127,regulation
-0.01999857760254479,0.020013271065518923,methodik
0.06489588644622624,-0.04573304755312964,regulation
-0.01999857760254479,0.020013271065518923,methodik
0.024050816943508996,-0.046187552056125875,regulation
0.06489588644622624,-0.04573304755312964,regulation
-0.07244325911604657,0.08118244991025797,performanz
0.08558526079406134,-0.09172285992273359,performanz
-0.11068672984992652,0.11793230641369873,motivation
0.021476663452140568,-0.008563809119024643,performanz
0.023769627243100548,-0.06247185028338142,kognition
0.034133945708688475,-0.05709547325511107,kognition
-0.026370140591890842,-0.004198256106690092,kognition
1.1272193952804288,1.092976671751419,performanz
-0.05460262065854495,0.02317636239041214,performanz
0.015775801462859732,-0.01733631516840742,performanz
0.11236592930367464,-0.0985735555420949,kognition
0.12028174343817127,-0.033063147215406284,performanz
-0.03525136159313372,0.01608720657575273,kognition
0.06558836727538712,-0.03268271136248364,kognition
0.01422535732587823,0.01227090677988088,regulation
-0.08579925331587254,0.09269980839324342,performanz
-0.056674317804565,0.05346729200309476,methodik
-0.0006734637996355824,-0.061303114741162575,performanz
-0.10984849596943976,0.10394998132407161,performanz
0.12986434874964206,-0.036214893993872274,performanz
-0.05059424305033477,0.045695426701572894,performanz
-0.011571993086519074,0.028553263464408264,regulation
-0.08663116288069317,0.07228795597299026,performanz
0.12892635180852993,-0.08050726849894485,regulation
-0.07801137077795225,0.07275851451310475,kognition
0.04915612138689307,-0.014613854364313684,regulation
-0.015764609679696524,0.027364699271573877,kognition
-0.015764609679696524,0.027364699271573877,kognition
0.22503570619813,-0.11736255108822462,regulation
-0.03502494752599812,0.044655666785190444,regulation
-0.07625453105824295,0.049616024461321885,kognition
0.09412689804223587,-0.13823805222034558,performanz
-0.0022439043316022627,-0.0004631805541134004,kognition
0.05257277366636258,-0.056464558758669896,regulation
0.04366366932403086,-0.0786002630494822,performanz
0.05010835959879575,-0.07597161785178062,kognition
0.05257277366636258,-0.056464558758669896,regulation
0.04366366932403086,-0.0786002630494822,performanz
0.10544596223579404,-0.09707718473264346,kognition
-0.07349055644070591,0.05392489184457954,motivation
0.18624579777286532,-0.17027053750937748,kognition
-0.019735460977613747,-0.013643765037214371,methodik
-0.017163370768511568,0.010178029231919905,regulation
0.0594224197820873,-0.09732690305189978,kognition
0.03260897239786185,-0.008685602037187259,regulation
0.13392264722272162,-0.13108435249241354,regulation
-0.0914219680848781,0.067336555264414,kognition
-0.02465110241284621,0.002972353917307658,kognition
